cmpd,G,H,S,T
ZnAl2O4,-0.055018767,0.019811962,0.0001870771925,400
ZnAl2O4,-0.076208885,0.04157878,0.000235574738,500
ZnAl2O4,-0.101926428,0.064783867,0.00027785074,600
ZnAl2O4,-0.131613352,0.088991627,0.0003151503928571,700
ZnAl2O4,-0.16482414,0.113952132,0.000348470155,800
ZnAl2O4,-0.201200187,0.139508436,0.0003785651355555,900
ZnAl2O4,-0.240448774,0.165556304,0.000406005375,1000
ZnAl2O4,-0.282327379,0.192022594,0.0004312276518181,1100
ZnAl2O4,-0.326631675,0.218853856,0.0004545710291666,1200
ZnAl2O4,-0.373187986,0.246009965,0.0004763064576923,1300
ZnAl2O4,-0.421846475,0.273459679,0.0004966471471428,1400
ZnAl2O4,-0.472476847,0.30117857,0.0005157707713333,1500
ZnAl2O4,-0.524964798,0.329146944,0.00053381946875,1600
ZnAl2O4,-0.579209055,0.357348218,0.0005509161305882,1700
ZnAl2O4,-0.635119597,0.385769217,0.0005671599583333,1800
ZnAl2O4,-0.039040413,0.000329585,0.0001312328333333,300
ZnAl2O4,-0.055018767,0.019811962,0.0001870771925,400
ZnAl2O4,-0.076208885,0.04157878,0.000235574738,500
ZnAl2O4,-0.101926428,0.064783867,0.00027785074,600
ZnAl2O4,-0.131613352,0.088991627,0.0003151503928571,700
ZnAl2O4,-0.16482414,0.113952132,0.000348470155,800
ZnAl2O4,-0.201200187,0.139508436,0.0003785651355555,900
ZnAl2O4,-0.240448774,0.165556304,0.000406005375,1000
ZnAl2O4,-0.282327379,0.192022594,0.0004312276518181,1100
ZnAl2O4,-0.326631675,0.218853856,0.0004545710291666,1200
ZnAl2O4,-0.373187986,0.246009965,0.0004763064576923,1300
ZnAl2O4,-0.421846475,0.273459679,0.0004966471471428,1400
ZnAl2O4,-0.472476847,0.30117857,0.0005157707713333,1500
ZnAl2O4,-0.524964798,0.329146944,0.00053381946875,1600
ZnAl2O4,-0.579209055,0.357348218,0.0005509161305882,1700
ZnAl2O4,-0.635119597,0.385769217,0.0005671599583333,1800
SrAl2O4,-0.048321205,0.000327068,0.0001621614033333,300
SrAl2O4,-0.067438166,0.020277467,0.0002192894525,400
SrAl2O4,-0.09194886,0.042917404,0.0002697325259999,500
SrAl2O4,-0.121161394,0.066938458,0.0003134995083333,600
SrAl2O4,-0.154466201,0.091780218,0.00035178081,700
SrAl2O4,-0.191371272,0.117162253,0.00038566616625,800
SrAl2O4,-0.231481726,0.142928805,0.0004160113711111,900
BaAl2O4,-0.065976651,0.000343355,0.00022106619,300
BaAl2O4,-0.091058418,0.020622303,0.00027920106,400
BaAl2O4,-0.121541468,0.04304681,0.0003291762599999,500
BaAl2O4,-0.156665211,0.066708075,0.0003722888083333,600
BaAl2O4,-0.195821408,0.091216547,0.0004100548571428,700
BaAl2O4,-0.238537152,0.116377379,0.00044364260875,800
BaAl2O4,-0.284439624,0.142082189,0.0004739137833333,900
BaAl2O4,-0.333230332,0.168266422,0.000501496162,1000
BaAl2O4,-0.384665418,0.194888325,0.0005268664999999,1100
BaAl2O4,-0.438542186,0.221920802,0.00055038607,1200
